genero_musical;comida_favorita;filme_favorito;esporte_favorito;time;religiao;tem_filhos;idade;destino
7;6;8;0;5;0;0;28;Cinema
4;1;4;0;3;0;0;15;Shopping
6;5;1;0;2;0;0;35;Estádio
2;1;4;0;4;0;1;39;Jogos
0;1;0;0;1;0;0;17;Cinema
0;1;0;0;1;0;0;17;Parque
0;1;0;0;1;0;0;17;Jogos
7;1;8;0;3;0;1;39;Bar
0;3;8;0;1;0;0;25;Cinema
0;3;8;0;1;0;0;25;Restaurante
0;3;8;0;1;0;0;25;Shopping
0;3;8;0;1;0;0;25;Museu
4;1;7;0;5;0;1;52;Restaurante
0;5;5;0;1;0;1;33;Cinema
0;5;5;0;1;0;1;33;Restaurante
0;5;5;0;1;0;1;33;Parque
0;6;7;0;5;0;0;25;Cinema
0;6;7;0;5;0;0;25;Restaurante
0;6;7;0;5;0;0;25;Parque
0;6;7;0;5;0;0;25;Shopping
0;6;7;0;5;0;0;25;Show
0;6;7;0;5;0;0;25;Biblioteca
0;6;7;0;5;0;0;25;Estádio
0;6;7;0;5;0;0;25;Jogos
0;6;7;0;5;0;0;25;Bar
3;1;1;0;5;0;0;21;Cinema
0;5;1;0;4;0;1;28;Restaurante
7;4;2;0;1;0;0;23;Cinema
7;4;2;0;1;0;0;23;Restaurante
7;4;2;0;1;0;0;23;Parque
7;4;2;0;1;0;0;23;Shopping
7;4;2;0;1;0;0;23;Estádio
7;4;2;0;1;0;0;23;Jogos
4;3;5;0;3;0;0;19;Cinema
4;3;5;0;3;0;0;19;Shopping
4;3;5;0;3;0;0;19;Show
4;3;5;0;3;0;0;19;Teatro
1;4;1;0;1;0;0;28;Cinema
1;4;1;0;1;0;0;28;Restaurante
1;4;1;0;1;0;0;28;Shopping
1;4;1;0;1;0;0;28;Show
1;4;1;0;1;0;0;28;Museu
1;4;1;0;1;0;0;28;Estádio
1;4;1;0;1;0;0;28;Jogos
1;4;1;0;1;0;0;28;Teatro
1;4;1;0;1;0;0;28;Bar
4;1;1;0;1;0;1;56;Shopping
7;1;3;2;1;0;1;50;Cinema
7;1;3;2;1;0;1;50;Restaurante
7;1;3;2;1;0;1;50;Parque
7;1;3;2;1;0;1;50;Shopping
7;1;3;2;1;0;1;50;Show
7;1;3;2;1;0;1;50;Museu
7;1;3;2;1;0;1;50;Biblioteca
7;1;3;2;1;0;1;50;Estádio
7;1;3;2;1;0;1;50;Jogos
7;1;3;2;1;0;1;50;Teatro
7;1;3;2;1;0;1;50;Bar
4;1;2;7;3;0;1;46;Parque
1;5;3;2;1;0;1;46;Restaurante
7;4;3;4;1;0;1;44;Restaurante
1;0;0;7;3;0;1;43;Cinema
1;0;0;7;3;0;1;43;Restaurante
1;0;0;7;3;0;1;43;Parque
1;0;0;7;3;0;1;43;Shopping
3;4;5;2;1;0;1;42;Restaurante
3;4;5;2;1;0;1;42;Parque
1;6;3;4;0;0;1;41;Cinema
1;6;3;4;0;0;1;41;Restaurante
1;6;3;4;0;0;1;41;Show
1;6;3;4;0;0;1;41;Teatro
1;0;7;2;1;0;1;41;Parque
1;4;7;4;1;0;1;41;Parque
1;1;0;7;3;0;1;41;Parque
1;1;0;7;3;0;1;41;Teatro
1;1;0;7;3;0;1;41;OUTROS
1;1;4;2;3;0;1;40;Show
1;1;3;2;1;0;1;36;Restaurante
1;1;3;2;1;0;1;36;Parque
1;1;3;2;1;0;1;36;Shopping
1;1;3;2;1;0;1;36;Restaurante
1;1;3;2;1;0;1;36;Parque
1;1;3;2;1;0;1;36;Shopping
4;1;3;2;3;0;1;36;Parque
3;1;3;2;0;0;1;35;Shopping
1;1;7;7;1;0;0;35;Restaurante
3;2;6;4;5;0;0;34;OUTROS
3;3;3;2;3;0;0;30;Restaurante
1;0;3;2;1;0;1;29;Cinema
6;0;1;1;0;0;0;23;Estádio
6;0;1;1;0;0;0;23;Shopping
6;0;5;1;1;0;0;21;Cinema
6;0;5;1;1;0;0;21;Restaurante
6;0;5;1;1;0;0;21;Parque
6;0;5;1;1;0;0;21;Shopping
6;0;5;1;1;0;0;21;Jogos
7;0;3;7;1;0;0;19;Parque
7;0;3;7;1;0;0;19;Parque
5;1;3;7;3;0;0;18;Shopping
5;1;3;7;3;0;0;18;Shopping
5;1;3;7;3;0;0;18;Shopping
4;4;1;7;3;0;0;16;Cinema
4;4;1;7;3;0;0;16;Restaurante
4;4;1;7;3;0;0;16;Parque
4;4;1;7;3;0;0;16;Shopping
4;4;1;7;3;0;0;16;Jogos
1;0;1;2;1;0;0;16;Cinema
3;1;3;2;2;0;1;27;Parque
4;3;4;2;1;0;0;19;Cinema
4;3;4;2;1;0;0;19;Restaurante
4;3;4;2;1;0;0;19;Parque
4;3;4;2;1;0;0;19;Shopping
4;3;4;2;1;0;0;19;Show
4;3;4;2;1;0;0;19;Museu
4;3;4;2;1;0;0;19;Biblioteca
4;3;4;2;1;0;0;19;Jogos
4;3;4;2;1;0;0;19;Teatro
7;1;2;3;5;0;0;24;Cinema
7;1;2;3;5;0;0;24;Restaurante
7;1;2;3;5;0;0;24;Parque
7;1;2;3;5;0;0;24;Shopping
1;5;6;2;3;0;1;36;Restaurante
1;5;6;2;3;0;1;36;Parque
1;5;6;2;3;0;1;36;Shopping
1;0;1;4;5;0;0;25;Bar
3;1;1;1;1;0;0;28;Parque
3;4;7;1;0;0;0;22;Cinema
3;4;7;1;0;0;0;22;Restaurante
3;4;7;1;0;0;0;22;Shopping
3;4;7;1;0;0;0;22;Jogos
3;4;7;1;0;0;0;22;Teatro
3;4;7;1;0;0;0;22;Bar
7;5;8;7;5;0;0;16;Jogos
4;0;6;2;3;0;0;23;Restaurante
4;0;6;2;3;0;0;23;Parque
4;0;6;2;3;0;0;23;Museu
4;0;1;1;0;0;0;18;Cinema
4;0;1;1;0;0;0;18;Restaurante
4;0;1;1;0;0;0;18;Shopping
7;1;0;2;5;0;0;25;Bar
1;0;2;7;1;0;1;31;Restaurante
1;0;2;7;1;0;1;31;Shopping
1;0;2;7;1;0;1;31;Bar
6;4;1;1;5;0;0;26;Cinema
6;4;1;1;5;0;0;26;Shopping
6;4;1;1;5;0;0;26;Show
6;4;1;1;5;0;0;26;Jogos
3;1;3;2;0;0;1;35;Shopping
0;0;1;4;0;0;1;52;Restaurante
0;1;2;2;1;0;1;45;Bar
0;0;3;2;3;0;1;37;Cinema
0;0;3;2;3;0;1;37;Restaurante
0;0;3;2;3;0;1;37;Parque
0;0;3;2;3;0;1;37;Shopping
0;0;3;2;3;0;1;37;Show
0;0;3;2;3;0;1;37;Museu
0;0;3;2;3;0;1;37;Biblioteca
0;0;3;2;3;0;1;37;Estádio
